Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:07:09,05-03-2024 14:07:09,0.569s,PASSED
"setText(findTestObject(""Page_Customer Form/input_Age_age""), ""151"")",Chrome 122.0.0.0,,,05-03-2024 14:07:09,05-03-2024 14:07:10,0.526s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:07:10,05-03-2024 14:07:10,0.576s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:07:10,05-03-2024 14:07:11,0.267s,PASSED
"takeFullPageScreenshot(""imgg/img11.png"")",Chrome 122.0.0.0,,,05-03-2024 14:07:11,05-03-2024 14:07:11,0.288s,PASSED
"click(findTestObject(""Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:07:11,05-03-2024 14:07:11,0.317s,PASSED
,,,,,,,
Test Cases/Ex10,Chrome 122.0.0.0,,,05-03-2024 14:07:11,05-03-2024 14:07:15,3.745s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:07:11,05-03-2024 14:07:12,0.661s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:07:12,05-03-2024 14:07:12,0.137s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:07:12,05-03-2024 14:07:13,0.827s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:07:13,05-03-2024 14:07:13,0.575s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""0"")",Chrome 122.0.0.0,,,05-03-2024 14:07:13,05-03-2024 14:07:14,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:07:14,05-03-2024 14:07:14,0.326s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:07:14,05-03-2024 14:07:14,0.245s,PASSED
"takeFullPageScreenshot(""imgg/img10.png"")",Chrome 122.0.0.0,,,05-03-2024 14:07:14,05-03-2024 14:07:15,0.272s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:07:15,05-03-2024 14:07:15,0.098s,PASSED
,,,,,,,
Test Cases/Ex4,Chrome 122.0.0.0,,,05-03-2024 14:07:15,05-03-2024 14:07:20,4.827s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:07:15,05-03-2024 14:07:16,0.613s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:07:16,05-03-2024 14:07:16,0.132s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnjohnjohnjo"")",Chrome 122.0.0.0,,,05-03-2024 14:07:16,05-03-2024 14:07:16,0.834s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:07:16,05-03-2024 14:07:17,0.306s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:07:17,05-03-2024 14:07:17,0.277s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:07:17,05-03-2024 14:07:17,0.292s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 14:07:17,05-03-2024 14:07:18,0.559s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:07:18,05-03-2024 14:07:19,0.579s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:07:19,05-03-2024 14:07:19,0.291s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:07:19,05-03-2024 14:07:19,0.293s,PASSED
"takeFullPageScreenshot(""imgg/img4.png"")",Chrome 122.0.0.0,,,05-03-2024 14:07:19,05-03-2024 14:07:19,0.305s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:07:19,05-03-2024 14:07:20,0.301s,PASSED
